Ticker,Company Name,Industry,Market Cap,1 Yr,3 Yr,5 Yr,Total Revenues,Gross Profit Margin,EBIT Margin,Net Income Margin,Net Debt/EBITDA,P/E,P/B,P/Revenue,ROIC,Dividend Yield
NYSE:PRU,"Prudential Financial, Inc.",Financials,36601.28,-3.9,23.8,9.3,70871.0,33.8,14.6,10.9,2.0x,5.1,0.6,0.54,1.0,4.7
NasdaqGS:PTC,PTC Inc.,Information Technology,14183.22,-0.9,60.3,97.5,1835.83,79.3,21.8,27.2,2.8x,28.49,7.18,7.66,12.0,
NYSE:PEG,Public Service Enterprise Group Incorporated,Utilities,30570.65,-5.1,15.0,40.9,9722.0,31.0,21.8,-6.7,5.3x,,2.14,3.18,5.0,3.4
NYSE:PSA,Public Storage,Real Estate,49212.12,-20.2,49.8,64.3,3498.92,73.7,50.4,55.8,2.7x,28.39,9.37,14.0,11.0,2.9
NYSE:PHM,"PulteGroup, Inc.",Consumer Discretionary,10372.63,-19.2,21.9,46.1,13926.88,27.2,18.4,14.0,0.4x,6.13,1.52,0.85,26.0,1.2
NasdaqGS:QRVO,"Qorvo, Inc.",Information Technology,9189.94,-42.0,-22.0,36.1,4552.29,49.3,28.0,24.6,0.6x,9.15,2.11,2.22,21.0,
NasdaqGS:QCOM,QUALCOMM Incorporated,Information Technology,123242.74,-38.6,33.0,97.5,42958.0,57.2,33.8,27.4,0.5x,12.6,10.91,3.44,40.0,2.7
NYSE:PWR,"Quanta Services, Inc.",Industrials,20363.41,24.6,253.3,269.9,12980.21,15.0,4.9,3.7,3.6x,42.66,3.98,1.55,7.0,0.2
NYSE:DGX,Quest Diagnostics Incorporated,Health Care,17816.56,-7.8,55.6,75.8,10788.0,39.3,22.7,18.5,1.4x,10.06,2.89,1.81,22.0,1.6
NYSE:RL,Ralph Lauren Corporation,Consumer Discretionary,6971.31,-8.4,-4.5,12.8,5982.8,66.4,13.4,8.4,0.4x,15.75,2.76,1.3,19.0,2.0
NYSE:RJF,"Raymond James Financial, Inc.",Financials,22979.54,8.3,87.8,94.5,10372.0,94.4,,14.8,,14.74,2.58,2.12,,1.0
NYSE:RTX,Raytheon Technologies Corporation,Industrials,148529.84,20.0,23.2,51.2,64388.0,19.4,10.1,6.0,2.3x,39.12,2.05,2.35,5.0,2.0
NYSE:O,Realty Income Corporation,Real Estate,39780.37,-7.4,1.6,42.8,2081.57,93.6,45.8,17.3,8.5x,73.15,1.5,12.63,2.0,4.5
NasdaqGS:REG,Regency Centers Corporation,Real Estate,10695.17,-13.6,12.8,10.6,1203.87,72.9,40.8,30.0,5.0x,29.48,1.77,8.84,5.0,3.9
NasdaqGS:REGN,"Regeneron Pharmaceuticals, Inc.",Health Care,77056.53,14.2,92.2,91.9,16071.7,67.0,56.0,50.2,-1.1x,10.02,4.1,4.75,47.0,
NYSE:RF,Regions Financial Corporation,Financials,20146.65,2.3,40.3,48.6,6962.0,,,36.2,,8.66,1.22,2.96,,3.0
NYSE:RSG,"Republic Services, Inc.",Industrials,40760.96,-6.2,51.1,108.3,11295.0,41.2,18.7,11.4,2.9x,31.93,4.56,3.64,9.0,1.4
NYSE:RMD,ResMed Inc.,Health Care,30573.2,-19.5,37.5,158.5,3443.76,57.9,28.3,15.2,0.6x,58.55,9.67,8.81,25.0,0.8
NYSE:RHI,Robert Half International Inc.,Industrials,7880.7,-32.5,24.1,46.7,6461.44,41.7,11.5,9.3,-0.4x,13.77,5.82,1.26,70.0,2.1
NYSE:ROK,"Rockwell Automation, Inc.",Industrials,29555.14,-24.8,34.0,44.5,7289.4,41.2,16.4,13.8,2.8x,30.06,11.95,4.1,15.0,1.7
NYSE:ROL,"Rollins, Inc.",Industrials,17994.94,8.1,70.9,87.0,2424.3,52.0,18.5,14.7,0.5x,51.46,16.61,7.42,29.0,0.9
NYSE:ROP,"Roper Technologies, Inc.",Information Technology,45824.03,-11.6,24.0,71.6,4833.8,70.5,27.6,23.8,4.0x,46.81,3.94,7.87,6.0,0.5
NasdaqGS:ROST,"Ross Stores, Inc.",Consumer Discretionary,39971.14,2.9,2.3,51.6,18916.24,32.2,12.3,9.1,0.3x,23.83,10.06,2.16,45.0,1.0
NYSE:RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,12613.65,-35.7,-62.6,-56.1,1532.13,-70.7,-247.1,,-7.6x,,2.48,8.12,-15.0,
NYSE:SPGI,S&P Global Inc.,Financials,109123.45,-28.4,25.8,106.9,8297.0,73.5,54.7,36.4,-0.3x,26.77,39.72,9.72,94.0,0.9
NYSE:CRM,"Salesforce, Inc.",Information Technology,131396.69,-47.8,-18.5,29.7,26492.0,73.5,2.3,5.5,1.0x,89.59,2.26,4.78,1.0,
NasdaqGS:SBAC,SBA Communications Corporation,Real Estate,30263.82,-27.3,19.0,76.1,2308.83,75.2,35.2,10.3,9.4x,130.99,,13.27,9.0,0.8
NYSE:SLB,Schlumberger Limited,Energy,75805.95,81.2,42.1,-7.4,22929.0,16.0,12.1,8.2,2.5x,40.5,5.0,3.26,9.0,0.9
NasdaqGS:STX,Seagate Technology Holdings plc,Information Technology,10861.56,-51.4,0.3,58.0,9352.0,24.5,8.8,6.6,3.9x,6.63,21.95,1.0,17.0,5.3
NYSE:SEE,Sealed Air Corporation,Materials,7215.52,-25.0,31.0,9.2,5533.8,30.4,15.8,9.2,3.0x,15.49,29.7,1.36,21.0,1.5
NYSE:SRE,Sempra Energy,Utilities,48577.08,20.3,12.7,69.5,12857.0,36.6,21.6,10.2,5.3x,38.54,1.95,3.75,4.0,2.8
NYSE:NOW,"ServiceNow, Inc.",Information Technology,78280.67,-40.2,37.5,197.8,5896.0,77.1,4.4,3.9,-1.5x,,20.97,13.05,6.0,
NasdaqGS:SBNY,Signature Bank,Financials,7178.92,-64.0,-12.0,-10.0,1951.37,,,47.1,,7.67,0.88,3.42,,2.0
NYSE:SPG,"Simon Property Group, Inc.",Real Estate,38606.18,-21.9,-6.2,-10.3,5114.69,81.0,47.1,44.0,6.8x,17.18,11.63,7.55,8.0,5.1
NasdaqGS:SWKS,"Skyworks Solutions, Inc.",Information Technology,14595.48,-39.9,-20.8,4.5,5304.4,47.6,27.8,22.3,0.7x,10.95,2.81,2.95,20.0,2.6
NYSE:SNA,Snap-on Incorporated,Industrials,12145.3,8.9,46.0,48.5,4601.7,51.8,24.7,17.8,0.4x,15.31,2.92,2.68,23.0,2.3
NasdaqGS:SEDG,"SolarEdge Technologies, Inc.",Information Technology,15833.34,1.0,197.9,654.4,1963.87,32.0,10.6,8.6,-1.9x,92.55,11.42,7.53,11.0,
NYSE:LUV,Southwest Airlines Co.,Industrials,19991.63,-21.4,-37.4,-47.1,15790.0,16.2,-4.9,6.2,-11.1x,20.91,1.91,1.26,-5.0,
NYSE:SWK,"Stanley Black & Decker, Inc.",Industrials,11113.39,-58.9,-51.6,-50.9,15281.3,33.6,13.0,11.1,2.7x,7.81,1.12,0.76,9.0,4.0
NasdaqGS:SBUX,Starbucks Corporation,Consumer Discretionary,113861.76,-13.2,19.8,91.2,30361.6,28.4,16.2,14.5,3.1x,26.8,,3.84,27.0,1.9
NYSE:STT,State Street Corporation,Financials,28463.55,-13.8,7.6,-8.1,12060.0,,,22.3,,10.79,1.12,2.27,,2.8
NasdaqGS:STLD,"Steel Dynamics, Inc.",Materials,17153.33,60.1,208.7,155.9,18408.85,29.1,23.4,17.5,0.4x,6.28,3.02,1.09,47.0,1.1
NYSE:STE,STERIS plc,Health Care,18436.3,-23.4,24.4,121.7,4247.91,43.0,15.6,6.6,3.0x,62.45,2.8,4.08,6.0,0.9
NYSE:SYK,Stryker Corporation,Health Care,92522.33,-7.4,20.6,67.2,17108.0,65.8,21.4,11.7,2.1x,46.93,6.2,5.39,13.0,1.1
NasdaqGS:SIVB,SVB Financial Group,Financials,13602.22,-66.1,-8.3,-1.6,5794.0,,,31.6,,7.36,1.07,2.23,,
NYSE:SYF,Synchrony Financial,Financials,14804.79,-27.4,-1.1,-3.2,9466.0,,,44.6,,4.48,1.34,1.96,,2.7
NasdaqGS:SNPS,"Synopsys, Inc.",Information Technology,48665.29,-13.4,129.4,274.6,4504.13,80.9,21.7,20.2,-0.6x,55.34,9.08,10.84,18.0,
NYSE:SYY,Sysco Corporation,Consumer Staples,38742.38,-0.3,-3.3,42.5,60738.23,17.9,3.5,1.3,3.6x,50.27,31.75,0.64,16.0,2.4
NasdaqGS:TROW,"T. Rowe Price Group, Inc.",Financials,24371.07,-42.2,-0.2,22.2,7671.9,61.0,48.8,40.2,-0.3x,8.31,2.77,3.22,40.0,4.0
NasdaqGS:TTWO,"Take-Two Interactive Software, Inc.",Communication Services,17475.01,-41.4,-14.9,-5.1,3414.23,60.8,19.9,15.4,-2.8x,23.08,3.28,3.52,20.0,
NYSE:TPR,"Tapestry, Inc.",Consumer Discretionary,9175.81,-3.3,49.5,-1.3,6510.8,70.6,18.8,12.8,1.2x,12.9,3.43,1.62,22.0,1.3
NYSE:TRGP,Targa Resources Corp.,Energy,16638.59,43.7,94.2,92.9,16949.8,19.0,7.8,0.4,2.9x,,8.34,0.99,10.0,0.9
NYSE:TGT,Target Corporation,Consumer Discretionary,68604.62,-34.2,22.8,157.2,106005.0,29.3,8.5,6.6,0.9x,10.57,5.48,0.69,34.0,2.1
NYSE:TEL,TE Connectivity Ltd.,Information Technology,36418.07,-27.7,26.0,32.3,16304.0,31.8,17.6,13.9,0.9x,15.6,3.4,2.48,17.0,1.9
NYSE:TDY,Teledyne Technologies Incorporated,Information Technology,18744.22,-8.5,15.4,120.8,4614.3,42.2,18.3,9.7,3.1x,39.79,2.45,3.74,7.0,
NYSE:TFX,Teleflex Incorporated,Health Care,11709.25,-23.6,-32.8,2.6,2809.56,55.3,20.3,17.3,1.9x,24.4,3.12,4.16,10.0,0.5
NasdaqGS:TER,"Teradyne, Inc.",Information Technology,13605.3,-46.3,29.7,114.8,3702.88,59.6,32.7,27.4,-1.0x,15.8,5.53,3.89,63.0,0.5
NasdaqGS:TSLA,"Tesla, Inc.",Consumer Discretionary,388971.95,-65.0,341.7,493.4,53823.0,25.3,12.1,10.3,-0.9x,75.4,12.64,6.77,24.0,
NasdaqGS:TXN,Texas Instruments Incorporated,Information Technology,149949.0,-9.9,39.5,80.8,18344.0,67.5,48.6,42.4,-0.2x,20.0,11.45,8.31,49.0,2.6
NYSE:TXT,Textron Inc.,Industrials,14781.02,-8.2,59.5,26.1,12382.0,16.7,8.1,6.0,1.6x,21.45,2.25,1.28,9.0,0.1
NYSE:AES,The AES Corporation,Utilities,19210.24,21.7,57.5,211.2,11141.0,24.3,23.0,-3.7,4.9x,,9.72,1.72,9.0,2.1
